label,group,y,value,density,y_top
Qwen14B student,distilled,3,-0.25984555984556,0.00597500742594275,3.0034655043070466
Qwen14B student,distilled,3,-0.25193050193050204,0.00417242994326579,3.002420009367094
Qwen14B student,distilled,3,-0.24401544401544406,0.0019749258007451596,3.0011454569644322
Qwen14B student,distilled,3,-0.2361003861003863,6.299864047281428e-4,3.0003653921147424
Qwen14B student,distilled,3,-0.22818532818532833,1.7659885739443248e-4,3.0001024273372887
Qwen14B student,distilled,3,-0.22027027027027035,2.9001652430351384e-4,3.0001682095840962
Qwen14B student,distilled,3,-0.2123552123552126,0.0010856666737916645,3.0006296866707993
Qwen14B student,distilled,3,-0.20444015444015462,0.0028674421060621625,3.001663116421516
Qwen14B student,distilled,3,-0.19652509652509664,0.005109758198296549,3.002963659755012
Qwen14B student,distilled,3,-0.18861003861003867,0.006251994051467649,3.0036261565498514
Qwen14B student,distilled,3,-0.1806949806949809,0.005489938531196751,3.0031841643480943
Qwen14B student,distilled,3,-0.17277992277992293,0.004195049294776464,3.0024331285909702
Qwen14B student,distilled,3,-0.16486486486486496,0.004335227995817203,3.002514432237574
Qwen14B student,distilled,3,-0.1569498069498072,0.005931738011304289,3.0034404080465564
Qwen14B student,distilled,3,-0.14903474903474923,0.007319746052028954,3.004245452710177
Qwen14B student,distilled,3,-0.14111969111969125,0.008377919295252428,3.0048591931912463
Qwen14B student,distilled,3,-0.13320463320463327,0.01078668179391188,3.0062562754404687
Qwen14B student,distilled,3,-0.12528957528957552,0.01498222604535789,3.0086896911063077
Qwen14B student,distilled,3,-0.11737451737451754,0.02064609777066636,3.0119747367069865
Qwen14B student,distilled,3,-0.10945945945945956,0.030091564158965512,3.0174531072122
Qwen14B student,distilled,3,-0.10154440154440159,0.0466523739749193,3.0270583769054533
Qwen14B student,distilled,3,-0.09362934362934383,0.07000949970838267,3.0406055098308618
Qwen14B student,distilled,3,-0.08571428571428585,0.09630897563989742,3.0558592058711405
Qwen14B student,distilled,3,-0.07779922779922788,0.12117602019275948,3.0702820917118006
Qwen14B student,distilled,3,-0.06988416988417012,0.14599799209347622,3.0846788354142163
Qwen14B student,distilled,3,-0.061969111969112145,0.18367154167319363,3.106529494170452
Qwen14B student,distilled,3,-0.05405405405405417,0.25081831425096457,3.1454746222655596
Qwen14B student,distilled,3,-0.04613899613899619,0.35071798936278753,3.2034164338304167
Qwen14B student,distilled,3,-0.038223938223938436,0.4683454897913619,3.27164038407899
Qwen14B student,distilled,3,-0.03030888030888046,0.5831092870324602,3.3382033864788268
Qwen14B student,distilled,3,-0.022393822393822482,0.6842601327099634,3.3968708769717786
Qwen14B student,distilled,3,-0.014478764478764727,0.7739943034881863,3.448916696023148
Qwen14B student,distilled,3,-0.00656370656370675,0.8583694716782327,3.4978542935733747
Qwen14B student,distilled,3,0.0013513513513512265,0.9350031528235497,3.542301828637659
Qwen14B student,distilled,3,0.009266409266409203,0.9878198461059385,3.5729355107414444
Qwen14B student,distilled,3,0.01718146718146696,1,3.58
Qwen14B student,distilled,3,0.025096525096524935,0.9730450840634856,3.5643661487568217
Qwen14B student,distilled,3,0.03301158301158291,0.9199244440757435,3.533556177563931
Qwen14B student,distilled,3,0.04092664092664067,0.8494625759757696,3.4926882940659465
Qwen14B student,distilled,3,0.048841698841698644,0.7697038635817308,3.446428240877404
Qwen14B student,distilled,3,0.05675675675675662,0.6880396078031744,3.399062972525841
Qwen14B student,distilled,3,0.0646718146718146,0.6021364628635523,3.3492391484608603
